Observation Order,Exam Code,Course ID,Year,Semester,Course,Subject,Exam,Class Order,ID-Scrambled,Gender,Exam Type,Correct,Wrong,Score,Z-Score
58,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,58,2435156,F,A,21,4,84,0.745580808
59,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,59,2439180,F,A,24,1,96,1.503156566
62,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,62,2436492,F,A,21,4,84,0.745580808
64,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,64,2217122,F,A,20,5,80,0.493055556
67,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,67,2581166,F,A,14,11,56,-1.02209596
70,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,70,2581218,F,A,15,10,60,-0.769570707
74,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,74,2581214,F,A,19,6,76,0.240530303
75,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,75,2303800,F,A,10,15,40,-2.03219697
84,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,84,2581348,F,A,10,15,40,-2.03219697
86,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,86,2436558,F,A,6,19,24,-3.04229798
92,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,92,2217222,F,A,20,5,80,0.493055556
94,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,94,2306572,F,A,21,4,84,0.745580808
99,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,99,2436622,F,A,17,8,68,-0.264520202
101,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,101,2436674,F,A,21,4,84,0.745580808
108,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,108,2439512,F,A,18,7,72,-0.011994949
111,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,111,2302726,F,A,11,14,44,-1.779671717
113,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,113,2304030,F,A,19,5,76,0.240530303
114,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,114,2306854,F,A,14,11,56,-1.02209596
118,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,118,2436820,F,A,22,3,88,0.998106061
124,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,124,2436902,F,A,24,1,96,1.503156566
128,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,128,2488864,F,A,16,9,64,-0.517045455
131,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,131,2437002,F,A,24,1,96,1.503156566
133,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,133,2437038,F,A,20,5,80,0.493055556
134,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,134,2304196,F,A,18,7,72,-0.011994949
137,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,137,2304228,F,A,16,8,64,-0.517045455
138,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,138,2581812,F,A,19,6,76,0.240530303
140,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,140,2437070,F,A,23,2,92,1.250631313
141,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,141,2304260,F,A,21,4,84,0.745580808
142,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,142,2581828,F,A,10,15,40,-2.03219697
144,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,144,2767636,F,A,17,8,68,-0.264520202
146,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,146,2435882,F,A,16,9,64,-0.517045455
147,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,147,2437086,F,A,22,3,88,0.998106061
148,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,148,2067570,F,A,24,1,96,1.503156566
150,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,150,2303274,F,A,17,8,68,-0.264520202
153,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,153,2304426,F,A,19,6,76,0.240530303
157,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,157,2437168,F,A,23,2,92,1.250631313
161,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,161,2498318,F,A,18,7,72,-0.011994949
162,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,162,2437236,F,A,15,10,60,-0.769570707
163,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,163,2214648,F,A,21,4,84,0.745580808
165,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,165,2437252,F,A,23,2,92,1.250631313
170,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,3,2437268,F,A,17,8,68,-0.037406484
172,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,5,2436126,F,A,17,8,68,-0.037406484
173,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,6,2580688,F,A,14,11,56,-0.78553616
178,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,11,2580738,F,A,16,9,64,-0.286783042
179,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,12,2704964,F,A,19,6,76,0.461346633
180,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,13,2436194,F,A,19,6,76,0.461346633
190,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,23,2436278,F,A,19,6,76,0.461346633
192,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,25,2437482,F,A,21,4,84,0.960099751
196,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,29,2705146,F,A,20,5,80,0.710723192
199,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,32,2303670,F,A,23,2,92,1.458852868
202,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,35,2438950,F,A,24,1,96,1.708229426
208,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,41,2435074,F,A,11,14,44,-1.533665835
209,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,42,2436324,F,A,20,5,80,0.710723192
210,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,43,2580968,F,A,10,15,40,-1.783042394
213,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,46,1215030,F,A,21,4,84,0.960099751
218,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,51,2436392,F,A,23,2,92,1.458852868
219,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,52,2648400,F,A,22,3,88,1.209476309
223,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,56,2436440,F,A,20,5,80,0.710723192
224,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,57,2217092,F,A,16,9,64,-0.286783042
225,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,58,2435156,F,A,21,4,84,0.960099751
226,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,59,2439180,F,A,24,1,96,1.708229426
229,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,62,2436492,F,A,21,4,84,0.960099751
231,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,64,2217122,F,A,20,5,80,0.710723192
234,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,67,2581166,F,A,14,11,56,-0.78553616
237,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,70,2581218,F,A,15,10,60,-0.536159601
241,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,74,2581214,F,A,19,6,76,0.461346633
242,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,75,2303800,F,A,10,15,40,-1.783042394
251,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,84,2581348,F,A,10,15,40,-1.783042394
253,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,86,2436558,F,A,6,19,24,-2.780548628
259,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,92,2217222,F,A,20,5,80,0.710723192
261,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,94,2306572,F,A,21,4,84,0.960099751
266,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,99,2436622,F,A,17,8,68,-0.037406484
268,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,101,2436674,F,A,21,4,84,0.960099751
274,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,107,2436720,F,A,21,4,84,0.960099751
278,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,111,2302726,F,A,11,14,44,-1.533665835
280,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,113,2304030,F,A,19,5,76,0.461346633
281,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,114,2306854,F,A,14,11,56,-0.78553616
285,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,118,2436820,F,A,22,3,88,1.209476309
291,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,124,2436902,F,A,24,1,96,1.708229426
295,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,128,2488864,F,A,16,9,64,-0.286783042
296,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,129,2582980,F,A,24,1,96,1.708229426
298,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,131,2437002,F,A,24,1,96,1.708229426
300,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,133,2437038,F,A,20,5,80,0.710723192
301,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,134,2304196,F,A,18,7,72,0.211970075
304,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,137,2304228,F,A,16,8,64,-0.286783042
305,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,138,2581812,F,A,19,6,76,0.461346633
307,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,140,2437070,F,A,23,2,92,1.458852868
308,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,141,2304260,F,A,21,4,84,0.960099751
309,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,142,2581828,F,A,10,15,40,-1.783042394
311,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,144,2767636,F,A,17,8,68,-0.037406484
313,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,146,2435882,F,A,16,9,64,-0.286783042
314,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,147,2437086,F,A,22,3,88,1.209476309
315,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,148,2067570,F,A,24,1,96,1.708229426
317,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,150,2303274,F,A,17,8,68,-0.037406484
320,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,153,2304426,F,A,19,6,76,0.461346633
324,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,157,2437168,F,A,23,2,92,1.458852868
328,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,161,2498318,F,A,18,7,72,0.211970075
329,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,162,2437236,F,A,15,10,60,-0.536159601
330,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,163,2214648,F,A,21,4,84,0.960099751
332,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,165,2437252,F,A,23,2,92,1.458852868
339,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,5,2705906,F,A,17,8,68,-0.114790287
344,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,10,2707226,F,A,23,2,92,1.651214128
345,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,11,2822790,F,A,20,5,80,0.768211921
348,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,14,2585820,F,A,20,5,80,0.768211921
350,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,16,2581744,F,A,16,9,64,-0.409124356
355,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,21,2403212,F,A,15,10,60,-0.703458425
359,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,25,2581728,F,A,21,3,84,1.06254599
367,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,33,2582074,F,A,13,12,52,-1.292126564
369,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,35,2706200,F,A,15,10,60,-0.703458425
371,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,37,2750190,F,A,19,6,76,0.473877851
372,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,38,2582882,F,A,16,9,64,-0.409124356
375,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,41,2705678,F,A,19,6,76,0.473877851
378,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,44,2900292,F,A,21,4,84,1.06254599
380,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,46,2706152,F,A,18,7,72,0.179543782
381,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,47,2706100,F,A,13,12,52,-1.292126564
382,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,48,2443504,F,A,20,5,80,0.768211921
385,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,51,2581942,F,A,19,4,76,0.473877851
387,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,53,2581910,F,A,11,14,44,-1.880794702
388,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,54,2626108,F,A,21,4,84,1.06254599
395,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,61,2830032,F,A,18,7,72,0.179543782
397,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,63,2403196,F,A,25,0,100,2.239882266
400,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,66,2581514,F,A,12,13,48,-1.586460633
409,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,75,2705496,F,A,18,7,72,0.179543782
412,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,78,2625634,F,A,19,6,76,0.473877851
413,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,79,2748494,F,A,18,7,72,0.179543782
415,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,81,2306520,F,A,14,11,56,-0.997792494
427,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,93,2705360,F,A,14,11,56,-0.997792494
431,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,97,2624442,F,A,19,6,76,0.473877851
432,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,98,2581218,F,A,15,10,60,-0.703458425
434,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,100,2310266,F,A,21,4,84,1.06254599
439,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,105,2306474,F,A,14,11,56,-0.997792494
442,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,108,2624394,F,A,19,6,76,0.473877851
445,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,111,2748126,F,A,19,6,76,0.473877851
448,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,114,2588128,F,A,15,10,60,-0.703458425
449,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,115,2624326,F,A,18,7,72,0.179543782
455,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,121,2346438,F,A,18,6,72,0.179543782
458,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,124,2748196,F,A,18,7,72,0.179543782
461,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,127,2479014,F,A,16,9,64,-0.409124356
462,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,128,2748128,F,A,17,8,68,-0.114790287
464,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,130,2750076,F,A,21,4,84,1.06254599
468,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,134,2624890,F,A,20,5,80,0.768211921
471,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,137,2750918,F,A,19,6,76,0.473877851
473,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,139,2439894,F,A,18,7,72,0.179543782
474,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,140,2310646,F,A,18,7,72,0.179543782
475,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,141,2713696,F,A,18,7,72,0.179543782
478,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,144,2248622,F,A,18,7,72,0.179543782
479,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,145,2500346,F,A,10,15,40,-2.175128771
483,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,149,2625286,F,A,13,12,52,-1.292126564
485,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,151,2705114,F,A,18,7,72,0.179543782
486,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,152,2441160,F,A,9,16,36,-2.46946284
487,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,153,2705080,F,A,9,16,36,-2.46946284
489,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,155,2898806,F,A,20,5,80,0.768211921
491,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,157,2708908,F,A,17,8,68,-0.114790287
493,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,159,2580754,F,A,11,14,44,-1.880794702
500,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,166,2438670,F,A,19,6,76,0.473877851
